epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.7392,1.09539,7.58006,1.38937,0.68115,0.75,0.70194,0.45676,0.76841,5.08597,1.16936,0.00034,0.00034,0.00034
2,39.7271,0.74465,2.07101,1.06143,0.72499,0.7125,0.79929,0.55532,0.89087,3.69747,1.43186,0.00068614,0.00068614,0.00068614
3,45.6928,0.85521,1.30272,1.10748,0.24257,0.1,0.06567,0.02896,2.59305,4.278,4.81563,0.00101802,0.00101802,0.00101802
4,51.4599,0.88184,1.13027,1.10094,0.00113,0.025,0.00054,0.00012,nan,nan,nan,0.00133565,0.00133565,0.00133565
5,57.261,1.01793,0.97096,1.17757,0,0,0,0,4.53603,74.6911,27.0007,0.00163902,0.00163902,0.00163902
6,63.0038,1.02884,0.92969,1.19342,0,0,0,0,nan,nan,nan,0.001802,0.001802,0.001802
7,68.7374,0.85361,0.84442,1.09786,0,0,0,0,5.30509,205.495,87.0013,0.0017624,0.0017624,0.0017624
8,74.5137,0.82067,0.81222,1.08291,0.11337,0.175,0.05464,0.01999,2.99199,6.39008,3.15152,0.0017228,0.0017228,0.0017228
9,80.2732,0.75076,0.65727,1.05464,0.74018,0.8,0.84497,0.62094,0.89126,2.7859,1.24518,0.0016832,0.0016832,0.0016832
10,86.0763,0.82494,0.73866,1.06652,0.7193,0.8125,0.81846,0.51921,0.94189,3.99219,1.45887,0.0016436,0.0016436,0.0016436
11,91.8527,0.82081,0.68017,1.05007,0.81934,0.9,0.91566,0.67297,0.86229,1.18407,1.12681,0.001604,0.001604,0.001604
12,97.6701,0.73892,0.57165,1.02273,0.88656,0.9875,0.9286,0.72163,0.72002,1.132,1.12789,0.0015644,0.0015644,0.0015644
13,103.522,0.75202,0.63573,1.0308,0.87597,0.925,0.96025,0.82826,0.56431,0.90164,0.9479,0.0015248,0.0015248,0.0015248
14,109.452,0.71198,0.62505,1.0384,0.7642,0.825,0.85934,0.62472,0.77526,0.89908,1.08409,0.0014852,0.0014852,0.0014852
15,115.356,0.70592,0.59984,1.02356,0.9562,0.925,0.97579,0.82986,0.59872,0.76885,0.97704,0.0014456,0.0014456,0.0014456
16,121.311,0.68567,0.54312,1.01559,0.84319,0.94105,0.93371,0.76606,0.66827,1.30989,1.0184,0.001406,0.001406,0.001406
17,127.203,0.69156,0.52258,0.99365,0.99937,0.9875,0.99488,0.84565,0.60349,0.45005,0.97157,0.0013664,0.0013664,0.0013664
18,133.217,0.6832,0.52369,0.99933,0.97313,1,0.99263,0.8738,0.52192,0.54206,0.9139,0.0013268,0.0013268,0.0013268
19,139.214,0.60881,0.46793,0.93969,0.94347,0.9875,0.983,0.81544,0.58152,0.70444,0.98786,0.0012872,0.0012872,0.0012872
20,145.142,0.63334,0.5239,0.96487,0.98505,1,0.995,0.88066,0.51475,0.40513,0.92511,0.0012476,0.0012476,0.0012476
21,151.105,0.61875,0.47931,0.96945,0.99631,1,0.995,0.88495,0.53466,0.36168,0.91361,0.001208,0.001208,0.001208
22,157.092,0.61634,0.45955,0.96224,0.9628,0.9875,0.99261,0.87726,0.50418,0.38053,0.92548,0.0011684,0.0011684,0.0011684
23,163.027,0.60644,0.43937,0.95642,0.97525,0.98506,0.99281,0.84117,0.53009,0.39955,0.92389,0.0011288,0.0011288,0.0011288
24,168.969,0.64092,0.46486,0.95697,0.94104,0.99758,0.99039,0.85023,0.53867,0.42486,0.93453,0.0010892,0.0010892,0.0010892
25,174.945,0.60541,0.43632,0.95046,0.98449,1,0.99463,0.8724,0.52714,0.36237,0.92847,0.0010496,0.0010496,0.0010496
26,180.954,0.59474,0.41492,0.97157,0.99738,1,0.995,0.87194,0.49719,0.31888,0.90659,0.00101,0.00101,0.00101
27,186.915,0.58235,0.41373,0.93881,0.98775,0.975,0.99428,0.88057,0.48399,0.33646,0.89253,0.0009704,0.0009704,0.0009704
28,192.991,0.54187,0.38962,0.92828,0.9569,0.9125,0.9552,0.79967,0.56409,0.49865,0.96741,0.0009308,0.0009308,0.0009308
29,199.062,0.56997,0.40781,0.94623,0.97377,0.975,0.9925,0.86949,0.48051,0.37011,0.90336,0.0008912,0.0008912,0.0008912
30,205.13,0.542,0.39573,0.94239,0.95615,0.9875,0.99379,0.88676,0.47741,0.33484,0.91173,0.0008516,0.0008516,0.0008516
31,211.302,0.59006,0.41703,0.96503,0.9871,0.9625,0.99146,0.88054,0.50644,0.36244,0.92316,0.000812,0.000812,0.000812
32,217.432,0.5386,0.40001,0.91963,0.99584,1,0.995,0.89407,0.44802,0.30085,0.89262,0.0007724,0.0007724,0.0007724
33,223.624,0.53268,0.39536,0.90461,0.95764,0.9875,0.99104,0.84536,0.51722,0.37356,0.93358,0.0007328,0.0007328,0.0007328
34,229.803,0.51068,0.38754,0.89619,0.97793,1,0.99364,0.88531,0.46206,0.30498,0.90281,0.0006932,0.0006932,0.0006932
35,235.865,0.49188,0.34801,0.90783,0.98671,1,0.99401,0.90621,0.44558,0.28518,0.88378,0.0006536,0.0006536,0.0006536
36,242.006,0.49693,0.35124,0.91948,0.98694,1,0.995,0.89418,0.4626,0.27064,0.89017,0.000614,0.000614,0.000614
37,248.057,0.49317,0.33659,0.89865,0.99842,1,0.995,0.90854,0.4435,0.27689,0.88684,0.0005744,0.0005744,0.0005744
38,254.12,0.50452,0.3641,0.90871,0.99786,1,0.995,0.90132,0.45248,0.2725,0.89246,0.0005348,0.0005348,0.0005348
39,260.132,0.48595,0.35826,0.89082,0.97259,0.9875,0.98869,0.87726,0.48057,0.35344,0.90386,0.0004952,0.0004952,0.0004952
40,266.127,0.47149,0.33792,0.89115,0.97426,0.94614,0.98581,0.84909,0.50721,0.36223,0.9308,0.0004556,0.0004556,0.0004556
41,274.09,0.42875,0.28946,0.87903,0.97527,0.98598,0.99326,0.88969,0.43297,0.28966,0.88439,0.000416,0.000416,0.000416
42,280.168,0.4328,0.28967,0.88328,0.9971,1,0.995,0.90135,0.42115,0.26058,0.88249,0.0003764,0.0003764,0.0003764
43,286.242,0.41982,0.28025,0.88317,0.99826,1,0.995,0.89495,0.43499,0.265,0.88076,0.0003368,0.0003368,0.0003368
