epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.6759,1.96819,21.3371,0.03035,0.08792,0.11597,0.04636,0.01102,2.63931,13.7675,0.04105,0.000412234,0.000412234,0.000412234
2,88.866,1.8459,9.84567,0.0282,0.37923,0.12892,0.06184,0.01598,2.5832,9.9168,0.04203,0.000820695,0.000820695,0.000820695
3,124.632,1.86039,9.36107,0.02944,0.3754,0.13949,0.0671,0.01709,2.58553,9.51736,0.04191,0.00122091,0.00122091,0.00122091
4,159.234,1.87788,9.05198,0.02981,0.38457,0.14696,0.07511,0.01967,2.62563,9.8746,0.04299,0.00121287,0.00121287,0.00121287
5,193.479,1.8307,8.77183,0.02873,0.36273,0.12961,0.06433,0.01876,2.58694,10.0421,0.04298,0.0012005,0.0012005,0.0012005
6,228.422,1.82079,8.7406,0.02842,0.38147,0.16984,0.08282,0.02448,2.40885,9.45128,0.03647,0.00118812,0.00118812,0.00118812
7,262.886,1.81012,8.53661,0.02836,0.42601,0.16754,0.10941,0.03045,2.56371,9.18902,0.03952,0.00117575,0.00117575,0.00117575
8,297.225,1.81266,8.38386,0.0277,0.39637,0.16412,0.10408,0.03016,2.36903,9.08799,0.03738,0.00116337,0.00116337,0.00116337
9,331.872,1.80933,8.22418,0.02794,0.42023,0.20686,0.11889,0.03381,2.52749,8.74573,0.03938,0.001151,0.001151,0.001151
10,366.473,1.77685,8.18534,0.02792,0.44085,0.21854,0.14883,0.04458,2.33512,8.71769,0.03568,0.00113863,0.00113863,0.00113863
11,401.01,1.77867,8.1282,0.02706,0.45312,0.20755,0.1505,0.04532,2.34101,8.37979,0.03575,0.00112625,0.00112625,0.00112625
12,435.755,1.76584,7.92868,0.02746,0.13533,0.20437,0.10948,0.02989,2.37664,9.35939,0.03645,0.00111388,0.00111388,0.00111388
13,470.374,1.75193,7.79253,0.0267,0.47409,0.22508,0.15308,0.04737,2.36733,8.42684,0.03596,0.0011015,0.0011015,0.0011015
14,504.96,1.76669,7.80121,0.02691,0.22308,0.23423,0.16049,0.05128,2.31909,8.21862,0.03519,0.00108913,0.00108913,0.00108913
15,539.623,1.7506,7.75131,0.02747,0.42317,0.23982,0.14375,0.04543,2.39178,8.49309,0.03531,0.00107675,0.00107675,0.00107675
16,574.276,1.73686,7.73511,0.02671,0.41391,0.2652,0.14371,0.04497,2.23591,8.69411,0.03302,0.00106437,0.00106437,0.00106437
17,608.935,1.72548,7.52301,0.0264,0.44576,0.22663,0.14435,0.04761,2.26122,8.5659,0.03385,0.001052,0.001052,0.001052
18,643.567,1.73823,7.42556,0.02705,0.45042,0.26539,0.18208,0.05346,2.30273,8.1696,0.03461,0.00103962,0.00103962,0.00103962
19,678.345,1.73088,7.59877,0.02673,0.41711,0.22964,0.16263,0.0539,2.33454,8.18406,0.03452,0.00102725,0.00102725,0.00102725
20,713.081,1.73201,7.44906,0.02644,0.47308,0.21264,0.1627,0.04979,2.41345,8.28259,0.03639,0.00101488,0.00101488,0.00101488
21,747.591,1.70569,7.42064,0.02658,0.45276,0.23963,0.15984,0.05012,2.33219,8.17178,0.03514,0.0010025,0.0010025,0.0010025
22,782.084,1.72743,7.35614,0.02683,0.2436,0.24546,0.16944,0.05793,2.36883,7.92153,0.03727,0.000990125,0.000990125,0.000990125
23,816.987,1.70563,7.23911,0.02656,0.22111,0.24376,0.18884,0.05692,2.27351,8.3306,0.03363,0.00097775,0.00097775,0.00097775
24,851.752,1.69493,7.07892,0.02568,0.44263,0.30332,0.18564,0.06458,2.25602,7.94597,0.03241,0.000965375,0.000965375,0.000965375
25,886.651,1.70606,7.08672,0.02656,0.45425,0.28084,0.17921,0.06033,2.25151,7.8866,0.03364,0.000953,0.000953,0.000953
26,921.478,1.67074,7.11955,0.02579,0.48131,0.24956,0.18935,0.06234,2.30112,7.92481,0.0346,0.000940625,0.000940625,0.000940625
27,956.549,1.67622,6.93804,0.02581,0.43606,0.27381,0.21257,0.07268,2.24269,7.99763,0.03284,0.00092825,0.00092825,0.00092825
28,991.627,1.6895,7.06321,0.02592,0.23195,0.26455,0.18165,0.06081,2.27045,8.26495,0.03371,0.000915875,0.000915875,0.000915875
29,1026.55,1.69761,7.07611,0.02568,0.40794,0.24632,0.19805,0.06571,2.23065,8.18745,0.03316,0.0009035,0.0009035,0.0009035
30,1061.35,1.6844,6.92271,0.02582,0.20045,0.27394,0.19378,0.06045,2.23449,8.21863,0.03303,0.000891125,0.000891125,0.000891125
31,1096.16,1.68164,6.83393,0.02579,0.27587,0.28287,0.18544,0.06135,2.287,7.93778,0.03397,0.00087875,0.00087875,0.00087875
32,1130.85,1.66454,6.74353,0.02565,0.21323,0.28311,0.18661,0.06585,2.25365,7.82622,0.03319,0.000866375,0.000866375,0.000866375
33,1165.6,1.64826,6.7545,0.02547,0.2666,0.2717,0.19397,0.06569,2.22671,7.93162,0.03294,0.000854,0.000854,0.000854
34,1200.18,1.65062,6.76913,0.02501,0.47143,0.25682,0.18704,0.06582,2.26896,8.01755,0.03402,0.000841625,0.000841625,0.000841625
35,1234.84,1.65582,6.73763,0.02563,0.4604,0.29925,0.18244,0.05506,2.36573,8.05158,0.03634,0.00082925,0.00082925,0.00082925
36,1269.59,1.63997,6.61805,0.02531,0.48146,0.29393,0.22079,0.07688,2.25823,7.69832,0.03235,0.000816875,0.000816875,0.000816875
37,1304.45,1.64865,6.51993,0.02531,0.24113,0.28105,0.18337,0.06696,2.26386,7.88031,0.03304,0.0008045,0.0008045,0.0008045
38,1339.12,1.65011,6.53864,0.0249,0.27609,0.2756,0.20067,0.0672,2.2398,7.82966,0.03308,0.000792125,0.000792125,0.000792125
39,1373.84,1.64731,6.61722,0.0253,0.48921,0.27054,0.20768,0.07299,2.20543,7.91086,0.0326,0.00077975,0.00077975,0.00077975
40,1408.47,1.64036,6.48539,0.02497,0.23695,0.26728,0.17488,0.06294,2.1669,8.14348,0.03206,0.000767375,0.000767375,0.000767375
41,1443.11,1.64113,6.50113,0.02493,0.54758,0.25746,0.21637,0.07237,2.19791,8.17655,0.0323,0.000755,0.000755,0.000755
42,1477.79,1.62688,6.46108,0.02459,0.2327,0.30631,0.18183,0.06107,2.24306,7.91175,0.03223,0.000742625,0.000742625,0.000742625
43,1512.53,1.62628,6.35969,0.02432,0.23468,0.27817,0.18031,0.05954,2.26058,8.05092,0.0333,0.00073025,0.00073025,0.00073025
44,1547.23,1.62161,6.20891,0.02413,0.27317,0.26358,0.19064,0.06443,2.25759,8.19496,0.03282,0.000717875,0.000717875,0.000717875
45,1581.92,1.61297,6.23911,0.02456,0.3193,0.28677,0.20991,0.07124,2.24877,7.95247,0.03292,0.0007055,0.0007055,0.0007055
46,1616.58,1.61084,6.21551,0.02408,0.25181,0.32127,0.20186,0.06836,2.21504,7.91222,0.03212,0.000693125,0.000693125,0.000693125
47,1651.28,1.59371,6.11294,0.02414,0.25918,0.28313,0.20308,0.07197,2.23727,8.00963,0.03248,0.00068075,0.00068075,0.00068075
48,1686.02,1.6045,6.12712,0.02372,0.31501,0.29851,0.18252,0.05822,2.33178,8.50474,0.03502,0.000668375,0.000668375,0.000668375
49,1720.71,1.61512,6.01493,0.02399,0.25237,0.29396,0.18273,0.05416,2.28578,8.23107,0.03371,0.000656,0.000656,0.000656
50,1755.29,1.61753,6.00291,0.02437,0.27532,0.28507,0.19918,0.06561,2.33022,7.87325,0.03511,0.000643625,0.000643625,0.000643625
51,1790.05,1.61298,6.01706,0.02412,0.1903,0.23523,0.11538,0.03426,2.34383,9.25739,0.03475,0.00063125,0.00063125,0.00063125
52,1824.57,1.58742,5.91723,0.02356,0.26109,0.27414,0.17791,0.0565,2.24677,8.45709,0.03329,0.000618875,0.000618875,0.000618875
53,1859.14,1.57393,5.8311,0.02376,0.30195,0.32967,0.2319,0.07464,2.24346,8.23892,0.03258,0.0006065,0.0006065,0.0006065
54,1893.78,1.56823,5.78987,0.02363,0.25126,0.30355,0.1624,0.05262,2.27509,8.38432,0.03352,0.000594125,0.000594125,0.000594125
55,1928.43,1.57122,5.68542,0.02359,0.36814,0.27747,0.20754,0.07284,2.25106,8.18978,0.0329,0.00058175,0.00058175,0.00058175
56,1962.87,1.56488,5.64903,0.02373,0.28959,0.28675,0.21056,0.07729,2.26645,8.23914,0.0325,0.000569375,0.000569375,0.000569375
57,1997.77,1.54934,5.58575,0.02364,0.27778,0.32922,0.18764,0.05966,2.32395,8.4935,0.03418,0.000557,0.000557,0.000557
58,2032.45,1.56696,5.62911,0.02307,0.27835,0.32165,0.20222,0.06998,2.33234,8.21279,0.03396,0.000544625,0.000544625,0.000544625
59,2067.21,1.57537,5.50043,0.02322,0.26366,0.27986,0.18855,0.06512,2.39207,8.42546,0.03475,0.00053225,0.00053225,0.00053225
60,2102.02,1.56401,5.41603,0.02388,0.2357,0.26783,0.18683,0.06362,2.35795,8.1775,0.03492,0.000519875,0.000519875,0.000519875
61,2136.77,1.56232,5.39409,0.0233,0.26338,0.29784,0.18898,0.06503,2.32131,8.21837,0.03452,0.0005075,0.0005075,0.0005075
