epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.1428,1.53806,4.47835,1.149,0.03511,0.00872,0.01896,0.01264,1.17512,4.16832,0.94079,7.056e-05,7.056e-05,7.056e-05
2,39.9922,1.12709,3.91386,0.95179,0.04492,0.66354,0.07252,0.04596,1.00214,4.04246,0.8718,0.000144089,0.000144089,0.000144089
3,46.0844,1.13335,3.40684,0.95016,0.0342,0.8968,0.23683,0.14876,0.97109,3.86784,0.8587,0.000214592,0.000214592,0.000214592
4,52.1231,1.14419,2.88927,0.94495,0.03056,0.91856,0.35304,0.23588,1.00581,3.64165,0.87104,0.000282067,0.000282067,0.000282067
5,57.4882,1.11468,2.42941,0.94031,0.03191,0.90826,0.32869,0.22476,0.98503,3.58447,0.88518,0.000346515,0.000346515,0.000346515
6,63.1501,1.08532,2.04251,0.94225,0.03293,0.97969,0.41499,0.26937,1.03259,3.41663,0.92195,0.000407937,0.000407937,0.000407937
7,68.3856,1.07763,1.7647,0.94098,0.22197,0.90456,0.52491,0.35996,1.01356,3.12535,0.91545,0.000466331,0.000466331,0.000466331
8,74.5397,1.10211,1.69225,0.92815,0.94461,0.20365,0.65928,0.48988,0.96378,2.59373,0.91166,0.000506503,0.000506503,0.000506503
9,79.3523,1.0127,1.42584,0.91342,0.88315,0.4403,0.71353,0.51077,0.99476,2.11046,0.91809,0.000494861,0.000494861,0.000494861
10,85.32,0.98972,1.34968,0.91501,0.76788,0.62654,0.77642,0.58718,0.92381,1.66945,0.9125,0.000483218,0.000483218,0.000483218
11,90.4251,1.0548,1.23045,0.93472,0.73597,0.74803,0.84215,0.63902,0.9163,1.4363,0.91707,0.000471576,0.000471576,0.000471576
12,96.2345,1.0553,1.23441,0.94768,0.78852,0.7238,0.83953,0.60907,1.01467,1.22816,0.95343,0.000459934,0.000459934,0.000459934
13,101.486,1.01633,1.17268,0.92901,0.79999,0.81849,0.88282,0.67148,0.8822,1.09598,0.91019,0.000448291,0.000448291,0.000448291
14,106.677,0.98758,1.1312,0.92387,0.85798,0.8653,0.93046,0.7012,0.89735,0.90467,0.9202,0.000436649,0.000436649,0.000436649
15,112.45,0.94453,1.05181,0.91618,0.8769,0.87406,0.93135,0.71832,0.8574,0.85561,0.90878,0.000425006,0.000425006,0.000425006
16,117.71,0.90799,1.00662,0.91457,0.91567,0.91058,0.96248,0.74514,0.84905,0.83405,0.91179,0.000413364,0.000413364,0.000413364
17,123.671,0.88636,0.96714,0.90349,0.92728,0.92176,0.96576,0.75192,0.84325,0.75033,0.91007,0.000401722,0.000401722,0.000401722
18,128.99,0.8974,0.9345,0.90177,0.92429,0.93255,0.97062,0.75868,0.85619,0.75248,0.91287,0.000390079,0.000390079,0.000390079
19,133.81,0.89026,0.9188,0.90593,0.93758,0.95441,0.97317,0.75108,0.86676,0.68951,0.9204,0.000378437,0.000378437,0.000378437
20,139.235,0.86921,0.85655,0.89654,0.96632,0.96833,0.9753,0.76792,0.84281,0.61351,0.92174,0.000366794,0.000366794,0.000366794
21,144.625,0.86736,0.8545,0.90276,0.95486,0.96556,0.97694,0.77964,0.80865,0.71181,0.90978,0.000355152,0.000355152,0.000355152
22,150.795,0.87015,0.8938,0.8948,0.95469,0.9544,0.97579,0.76721,0.84862,0.72342,0.92419,0.00034351,0.00034351,0.00034351
23,155.996,0.85555,0.84064,0.89491,0.97684,0.9783,0.98355,0.7792,0.83409,0.58147,0.91696,0.000331867,0.000331867,0.000331867
24,161.19,0.84967,0.83086,0.90598,0.96798,0.98773,0.98463,0.77893,0.80372,0.57601,0.91213,0.000320225,0.000320225,0.000320225
25,166.776,0.89401,0.82227,0.91578,0.96869,0.95642,0.98033,0.71753,1.01168,0.66625,0.98151,0.000308582,0.000308582,0.000308582
26,171.864,0.848,0.79922,0.89345,0.9657,0.97704,0.98576,0.78528,0.80357,0.57114,0.91091,0.00029694,0.00029694,0.00029694
27,177.689,0.84041,0.77318,0.89277,0.97388,0.96772,0.98329,0.78487,0.78921,0.55054,0.90568,0.000285298,0.000285298,0.000285298
28,182.992,0.8335,0.75391,0.88938,0.97773,0.98284,0.98523,0.77292,0.83247,0.5388,0.9186,0.000273655,0.000273655,0.000273655
29,188.647,0.81771,0.76491,0.87871,0.97232,0.98215,0.98758,0.79309,0.77247,0.54045,0.90352,0.000262013,0.000262013,0.000262013
30,194.112,0.8046,0.73923,0.88888,0.97004,0.97517,0.98705,0.79507,0.77013,0.57555,0.90063,0.00025037,0.00025037,0.00025037
31,199.251,0.80719,0.74195,0.88512,0.96739,0.98587,0.98721,0.78882,0.78872,0.56932,0.89807,0.000238728,0.000238728,0.000238728
32,205.3,0.8071,0.70522,0.88862,0.97916,0.98808,0.9874,0.79974,0.76683,0.49884,0.89594,0.000227086,0.000227086,0.000227086
33,210.373,0.7805,0.71436,0.87489,0.98031,0.99141,0.98737,0.79497,0.77181,0.50366,0.90084,0.000215443,0.000215443,0.000215443
34,216.135,0.78098,0.69799,0.87028,0.97969,0.98968,0.98693,0.80182,0.76509,0.50343,0.90077,0.000203801,0.000203801,0.000203801
35,221.398,0.79504,0.67941,0.87985,0.98288,0.989,0.9873,0.80275,0.76619,0.49468,0.89861,0.000192158,0.000192158,0.000192158
36,226.856,0.81019,0.70435,0.88954,0.97888,0.98828,0.98743,0.79749,0.78055,0.50218,0.90413,0.000180516,0.000180516,0.000180516
37,232.696,0.80466,0.68862,0.8863,0.98023,0.98891,0.98699,0.77786,0.84312,0.51395,0.9271,0.000168874,0.000168874,0.000168874
38,237.483,0.8123,0.69955,0.89092,0.98226,0.98771,0.98736,0.79221,0.79302,0.50805,0.90963,0.000157231,0.000157231,0.000157231
39,243.055,0.77578,0.67305,0.87695,0.98192,0.98872,0.98792,0.80158,0.7707,0.49403,0.90224,0.000145589,0.000145589,0.000145589
40,248.565,0.77452,0.66767,0.89277,0.97517,0.98452,0.98829,0.79469,0.77222,0.48097,0.90041,0.000133946,0.000133946,0.000133946
41,257.509,0.75438,0.69047,0.88534,0.97027,0.98549,0.99017,0.80309,0.76991,0.50141,0.89448,0.000122304,0.000122304,0.000122304
42,262.624,0.76144,0.6735,0.88767,0.97549,0.97776,0.98928,0.80093,0.78007,0.5241,0.90056,0.000110662,0.000110662,0.000110662
43,268.798,0.73835,0.65859,0.88966,0.97884,0.98755,0.98871,0.80078,0.76661,0.5005,0.90014,9.90192e-05,9.90192e-05,9.90192e-05
44,273.988,0.73801,0.63501,0.88655,0.97788,0.98989,0.98848,0.80006,0.76981,0.48089,0.90594,8.73768e-05,8.73768e-05,8.73768e-05
45,278.833,0.75138,0.65774,0.8853,0.98039,0.98988,0.98901,0.80323,0.76102,0.4823,0.89998,7.57344e-05,7.57344e-05,7.57344e-05
46,284.628,0.74566,0.64351,0.88053,0.98405,0.9898,0.98839,0.80556,0.76295,0.4821,0.89936,6.4092e-05,6.4092e-05,6.4092e-05
47,289.49,0.73156,0.63103,0.87545,0.98614,0.99047,0.98771,0.79148,0.79638,0.4801,0.91331,5.24496e-05,5.24496e-05,5.24496e-05
48,295.225,0.74503,0.61956,0.88342,0.98514,0.99099,0.9874,0.78847,0.80261,0.47773,0.91745,4.08072e-05,4.08072e-05,4.08072e-05
49,300.094,0.72724,0.61527,0.88336,0.98445,0.99047,0.98784,0.79822,0.76768,0.46867,0.90329,2.91648e-05,2.91648e-05,2.91648e-05
50,304.829,0.7276,0.62697,0.86462,0.98401,0.99062,0.98787,0.80095,0.76341,0.46801,0.90181,1.75224e-05,1.75224e-05,1.75224e-05
