epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,105.375,1.21154,2.43789,2.72248,1.36385,0,0.47169,0.41074,0.35286,0.26303,0.47244,0.41448,0.35281,0.2404,0.90958,1.81197,1.43083,1.14338,0,0.00012271,0.00012271,0.00012271
2,205.847,0.94313,1.70807,1.47822,1.13109,0,0.45408,0.59875,0.45816,0.34093,0.45381,0.59242,0.45563,0.32369,0.89225,1.59322,1.20701,1.11367,0,0.000241172,0.000241172,0.000241172
3,306.742,0.89728,1.58101,1.24222,1.09675,0,0.45187,0.62359,0.5194,0.3916,0.45552,0.62638,0.51308,0.36693,0.83304,1.52863,1.03475,1.06913,0,0.00035475,0.00035475,0.00035475
4,405.314,0.87253,1.50305,1.13193,1.08144,0,0.41341,0.54203,0.45478,0.34452,0.41354,0.53444,0.45829,0.32847,0.83313,1.41083,1.23297,1.07472,0,0.000348022,0.000348022,0.000348022
5,504.774,0.84731,1.44487,1.05713,1.07095,0,0.51356,0.67156,0.60433,0.48088,0.51558,0.67073,0.60971,0.45894,0.75378,1.28712,0.79085,1.0219,0,0.000340696,0.000340696,0.000340696
6,603.765,0.81467,1.36775,0.96142,1.05117,0,0.42609,0.70836,0.52026,0.41337,0.42399,0.69799,0.51507,0.39435,0.73553,1.266,0.91497,1.00732,0,0.00033337,0.00033337,0.00033337
7,703.302,0.79105,1.31706,0.9154,1.03435,0,0.53421,0.71083,0.6147,0.49441,0.53493,0.70616,0.61599,0.47259,0.71668,1.20832,0.76109,0.99653,0,0.000326044,0.000326044,0.000326044
8,801.652,0.77366,1.28656,0.88629,1.02745,0,0.51572,0.72698,0.59519,0.47813,0.51232,0.71695,0.58954,0.45773,0.71609,1.21258,0.76422,0.99661,0,0.000318718,0.000318718,0.000318718
9,900.349,0.76027,1.25746,0.85295,1.0246,0,0.51628,0.72203,0.59607,0.484,0.52018,0.72477,0.6035,0.47065,0.7161,1.14618,0.75919,0.99474,0,0.000311392,0.000311392,0.000311392
10,999.786,0.745,1.22442,0.82661,1.01496,0,0.46465,0.77949,0.57058,0.47091,0.46461,0.77988,0.57651,0.46071,0.68852,1.11675,0.76067,0.97932,0,0.000304066,0.000304066,0.000304066
11,1100.72,0.73272,1.21547,0.81648,1.00731,0,0.43309,0.73589,0.5147,0.42852,0.4376,0.72467,0.51911,0.4089,0.67571,1.12312,0.90647,0.97245,0,0.00029674,0.00029674,0.00029674
12,1200.31,0.72145,1.17668,0.77773,1.00183,0,0.5329,0.73917,0.64111,0.528,0.53498,0.73549,0.64458,0.51163,0.67636,1.10024,0.65403,0.97037,0,0.000289414,0.000289414,0.000289414
13,1302.59,0.71426,1.16109,0.76918,0.99388,0,0.54066,0.73108,0.63243,0.52529,0.54176,0.73233,0.63996,0.50845,0.66415,1.06783,0.695,0.96141,0,0.000282088,0.000282088,0.000282088
14,1402.81,0.70705,1.14544,0.7467,0.99292,0,0.53045,0.72444,0.61801,0.51038,0.53847,0.71116,0.62573,0.49643,0.67023,1.05821,0.67506,0.96344,0,0.000274762,0.000274762,0.000274762
15,1504.11,0.69623,1.12719,0.74411,0.98564,0,0.52627,0.76532,0.64706,0.537,0.52821,0.77468,0.65278,0.5226,0.65191,1.05444,0.63008,0.95984,0,0.000267436,0.000267436,0.000267436
16,1605.02,0.68726,1.11077,0.71439,0.97928,0,0.61192,0.78299,0.72118,0.60241,0.61215,0.7798,0.72486,0.58382,0.64324,1.05131,0.5886,0.95496,0,0.00026011,0.00026011,0.00026011
17,1705.61,0.67448,1.10176,0.70353,0.97897,0,0.51592,0.75656,0.61748,0.5158,0.52471,0.75443,0.63274,0.50738,0.64229,1.02316,0.66537,0.95106,0,0.000252784,0.000252784,0.000252784
18,1806.19,0.66533,1.07646,0.67597,0.97075,0,0.59666,0.79457,0.684,0.57161,0.60281,0.78841,0.69415,0.55456,0.64684,1.00768,0.58809,0.9532,0,0.000245458,0.000245458,0.000245458
19,1905.45,0.66617,1.07969,0.68023,0.97123,0,0.52374,0.7241,0.6154,0.52166,0.52935,0.72657,0.62191,0.5016,0.62865,1.01215,0.66099,0.94555,0,0.000238132,0.000238132,0.000238132
20,2005.73,0.64836,1.05254,0.65897,0.96672,0,0.58136,0.80438,0.67115,0.56373,0.58667,0.81194,0.6799,0.54305,0.61939,0.99286,0.58317,0.93892,0,0.000230806,0.000230806,0.000230806
