epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,156.101,1.21177,2.47673,3.50236,1.23845,0,0.51722,0.1457,0.10297,0.06646,0.5186,0.14124,0.10041,0.05572,1.34966,2.27437,2.47802,1.25599,0,0.000127996,0.000127996,0.000127996
2,302.042,1.16458,2.13155,2.58585,1.19813,0,0.5192,0.19511,0.1426,0.08948,0.51645,0.19107,0.13967,0.07447,1.34699,2.2404,2.29084,1.26104,0,0.00024787,0.00024787,0.00024787
3,446.046,1.14044,2.02885,2.25679,1.17557,0,0.48363,0.28566,0.21733,0.13628,0.46422,0.29264,0.21087,0.1115,1.32006,2.26687,2.16018,1.22389,0,0.000359275,0.000359275,0.000359275
4,589.558,1.12543,1.99323,1.9821,1.16577,0,0.48888,0.31084,0.26432,0.16793,0.47646,0.29328,0.25125,0.13527,1.29261,2.12874,1.94258,1.23284,0,0.000346885,0.000346885,0.000346885
5,733.361,1.08583,1.9243,1.75365,1.13999,0,0.35976,0.38558,0.31279,0.20391,0.35008,0.37265,0.30021,0.15919,1.26203,2.11974,1.83307,1.18525,0,0.00033418,0.00033418,0.00033418
6,876.469,1.05422,1.83599,1.57,1.11948,0,0.47683,0.39163,0.36327,0.23657,0.4643,0.38489,0.35289,0.18513,1.23727,2.05358,1.75443,1.19164,0,0.000321475,0.000321475,0.000321475
7,1017.52,1.03692,1.81563,1.47212,1.10942,0,0.66968,0.3635,0.43449,0.28985,0.66783,0.35805,0.42495,0.23256,1.25052,1.99337,1.63271,1.20218,0,0.00030877,0.00030877,0.00030877
8,1161.05,1.01612,1.77566,1.36444,1.09827,0,0.57404,0.38409,0.44654,0.30308,0.5619,0.37872,0.43652,0.24525,1.23607,1.98702,1.61229,1.17299,0,0.000296065,0.000296065,0.000296065
9,1304.23,1.00122,1.73841,1.29247,1.08996,0,0.57266,0.42769,0.45846,0.30772,0.52735,0.43685,0.44004,0.25207,1.18132,1.84774,1.57929,1.15305,0,0.00028336,0.00028336,0.00028336
10,1446.2,0.98934,1.71087,1.23721,1.08371,0,0.62048,0.45044,0.47957,0.3284,0.61139,0.44292,0.46376,0.25995,1.1795,1.8534,1.4755,1.14015,0,0.000270655,0.000270655,0.000270655
11,1593.44,0.96344,1.66924,1.17125,1.06925,0,0.61733,0.46715,0.50824,0.34846,0.5963,0.45522,0.48704,0.27347,1.20331,1.92987,1.49177,1.15467,0,0.00025795,0.00025795,0.00025795
12,1739.77,0.94322,1.63919,1.09789,1.05748,0,0.64504,0.47314,0.5276,0.36295,0.63536,0.46594,0.51106,0.286,1.14067,1.904,1.42767,1.11423,0,0.000245245,0.000245245,0.000245245
13,1882.58,0.93651,1.62175,1.06889,1.05425,0,0.67667,0.51107,0.55967,0.38666,0.66403,0.49924,0.54116,0.30655,1.14571,1.91119,1.38719,1.12392,0,0.00023254,0.00023254,0.00023254
14,2025.04,0.9256,1.60344,1.03407,1.04915,0,0.64674,0.50914,0.55185,0.38657,0.63596,0.5005,0.53376,0.30407,1.11719,1.82217,1.35793,1.10705,0,0.000219835,0.000219835,0.000219835
15,2167.75,0.91446,1.59289,1.00019,1.04176,0,0.59354,0.52474,0.55645,0.38666,0.62495,0.47897,0.52231,0.29903,1.12574,1.86685,1.33371,1.11737,0,0.00020713,0.00020713,0.00020713
16,2310.67,0.89263,1.5716,0.96569,1.03629,0,0.63584,0.53739,0.56046,0.38966,0.63395,0.52039,0.53747,0.30356,1.13267,1.85944,1.3423,1.10845,0,0.000194425,0.000194425,0.000194425
17,2452.15,0.88186,1.55406,0.92563,1.0265,0,0.63423,0.53768,0.56002,0.38774,0.62467,0.53353,0.54685,0.30517,1.12434,1.88304,1.32985,1.10983,0,0.00018172,0.00018172,0.00018172
18,2594.39,0.87608,1.53413,0.92016,1.02303,0,0.6517,0.53997,0.57169,0.39942,0.62875,0.52534,0.53858,0.31008,1.09762,1.80531,1.28281,1.09686,0,0.000169015,0.000169015,0.000169015
19,2739.69,0.86573,1.5234,0.90361,1.02478,0,0.68936,0.54586,0.59133,0.41602,0.67808,0.53825,0.57236,0.33055,1.1018,1.77142,1.27422,1.10212,0,0.00015631,0.00015631,0.00015631
